,question,column
0,ResponseID,responseid
1,RespID,respid
2,Status,status
3,Interview Start,interview_start
4,Interview End,interview_end
5,Survey Status,surveystatus
6,PID,pid
7,PSID,psid
8,Length of Interview,loi
9,Which of the following best describes your current profession?,qs1
10,What is your age?,qs2
11,Age Code,qs3
12,Code Generation,qs3a
13,In which of the following states do you currently reside?,qs4
14,Region,hidqregion
15,"CENSUS DIVISION (quota to census for home sales by region or state) New England (ME, NH, VT, MA, RI, CT) Middle Atlantic (NY, NJ, PA) East North Central (WI, IL, MI, IN, OH) West North Central...",hidqdivision
16,What sex were you assigned at birth?,qs5a
17,What is your gender identity?,qs5b
18,What is your gender identity? - Prefer to self-describe,qs5b_5_other
19,Do you identify as transgender?,qs6
20,Do you identify your sexual orientation as…,qs7
21,Do you identify your sexual orientation as… - Prefer to self-describe,qs7_5_other
22,Code Audience - Transgender,qs8_1
23,Code Audience - Gay Men,qs8_2
24,Code Audience - Lesbian Women,qs8_3
25,Code Audience - Bisexual All Genders,qs8_4
26,"Code Audience - Queer, Non-binary",qs8_5
27,Code Audience - Straight Cis,qs8_6
28,Code Audience - Prefer not to answer,qs8_7
29,Code Audience - Would not satisfy Code 1-5,qs8_8
30,"In your own words, what does it mean to you personally to be LGBTQ?",q1a
31,What is your present marital status?,q1
32,Are you currently in a relationship?,q2
33,How long have you been in your current relationship? - Years,q3_1
34,How long have you been in your current relationship? - Months,q3_2
35,Which of the following best describes your relationship preference?,q4
36,Which of these best describes your current relationship?,q5
37,Which of these best describes your current relationship? - Other,q5_4_other
38,"To the best of your recollection, how many committed relationships have you had in the past 5 years?",q6
39,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Physical attraction,q7_1
40,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Passion during sex,q7_2
41,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Intimacy and emotional connection during sex,q7_3
42,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Intimacy and emotional connection outside of sex,q7_4
43,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Intellectual compatibility,q7_5
44,Different things can be important to different individuals in relationships. Please use the scale below to indicate how important or not important each... - Sense of humor,q7_6
