,Question,Significant,P-value
20,"Please indicate which of the following you have experienced in the workplace in the past 10 years, in regards to your orientation or identity. - Notified HR of discrimination or bias in the workplace",NOT Statistically significantly,0.9329631334995107
40,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Doctor's office, health clinic, hospital",NOT Statistically significantly,0.6666526671582396
22,"Please indicate which of the following you have experienced in the workplace in the past 10 years, in regards to your orientation or identity. - None of the above",NOT Statistically significantly,0.9587136002281367
23,Has a place of business ever refused to serve you because of your sexual orientation or gender identity?,NOT Statistically significantly,0.997672958695823
24,Has a landlord or property manager ever denied you housing or discriminated in any other way against you because of your sexual orientation or gender identity?,NOT Statistically significantly,0.9998814415925469
25,"Have you ever been harassed or otherwise discriminated against for using a restroom that matches your gender identity in a place of business, school, or other public facility?",NOT Statistically significantly,0.9999990132131331
27,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Retail store, restaurant, hotel, or theater",NOT Statistically significantly,0.09875015726588066
19,"Please indicate which of the following you have experienced in the workplace in the past 10 years, in regards to your orientation or identity. - Felt I had to lie about my sexual orientation or gender identity at work",NOT Statistically significantly,0.9631294672233673
28,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Drug or alcohol treatment program",NOT Statistically significantly,0.3949482796305087
30,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Gym or health club",NOT Statistically significantly,0.14886003732907294
31,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Public assistance or government benefit office",NOT Statistically significantly,0.16420952575034958
34,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Court or courthouse",NOT Statistically significantly,0.05969371101553938
35,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Social Security office",NOT Statistically significantly,0.4938176300734241
38,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Interactions with landlord",NOT Statistically significantly,0.5897328232517275
39,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Interactions with real estate broker/agent",NOT Statistically significantly,0.6692198549851204
29,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - Domestic violence shelter or program or rape crisis center",NOT Statistically significantly,0.8829702690669285
18,"Please indicate which of the following you have experienced in the workplace in the past 10 years, in regards to your orientation or identity. - Had my work negatively affected by discrimination",NOT Statistically significantly,0.49775357358220673
41,"Have you ever been denied equal treatment or service, verbally harassed, or physically attacked at any of the following on the basis of your sexuality... - None of the above",NOT Statistically significantly,0.9995207515755069
